"sessionId","start_time","end_time","rounds","total_win","numPlayers","card1","card2","cb1","cb2","fc2","fc1","folder","winner","gave1","gave2","pot","payoff_1","payoff_2","secs_dealCards","secs_pl1CheckBet","secs_pl2CheckBet","secs_pl2FoldCall","secs_pl1FoldCall","secs_PayoffStage"
"qwDxylQCLdKWdWbMDnHS",2019-06-21 09:50:57,2019-06-21 09:58:36,1,-2,2,2,3,"check","bet",NA,"call",0,2,2,2,4,-2,2,NA,423.11487698555,NA,NA,32.9350090026855,NA
"qwDxylQCLdKWdWbMDnHS",2019-06-21 09:58:50,2019-06-21 09:58:53,2,-4,2,2,3,"bet",NA,"call",NA,0,2,2,2,4,-2,2,NA,2.51345491409302,NA,NA,NA,NA
"zIUNnvYvYtIWzsibikWU",2019-06-21 09:59:13,2019-06-21 09:59:16,1,-2,2,2,3,"bet",NA,"call",NA,0,2,2,2,4,-2,2,NA,1.8507239818573,NA,NA,NA,NA
"zIUNnvYvYtIWzsibikWU",2019-06-21 09:59:25,2019-06-21 09:59:27,2,-1,2,2,3,"check","bet",NA,"fold",1,2,1,2,3,-1,1,NA,NA,1.63340902328491,NA,NA,NA
"ZCoedIedMByWrHYMnmnr",2019-06-21 10:02:08,2019-06-21 10:02:11,1,1,2,3,2,"bet",NA,"fold",NA,2,1,2,1,3,1,-1,NA,2.19546008110046,NA,NA,NA,NA
"tqicuUXXGCryAlVfLwSO",2019-06-21 10:08:12,2019-06-21 10:08:16,1,2,2,3,2,"bet",NA,"call",NA,0,1,2,2,4,2,-2,NA,2.59809589385986,NA,NA,NA,NA
"tqicuUXXGCryAlVfLwSO",2019-06-21 10:08:20,2019-06-21 10:08:24,2,0,2,2,3,"bet",NA,"call",NA,0,2,2,2,4,-2,2,NA,3.00819396972656,NA,NA,NA,NA
"tqicuUXXGCryAlVfLwSO",2019-06-21 10:08:29,2019-06-21 10:08:31,3,1,2,2,3,"check","check",NA,NA,0,2,1,1,2,-1,1,NA,NA,1.82104110717773,NA,NA,NA
"tqicuUXXGCryAlVfLwSO",2019-06-21 10:08:36,2019-06-21 10:08:38,4,2,2,3,1,"bet",NA,"fold",NA,2,1,2,1,3,1,-1,NA,1.82411003112793,NA,NA,NA,NA
"tqicuUXXGCryAlVfLwSO",2019-06-21 10:08:41,2019-06-21 10:08:43,5,1,2,1,2,"check","check",NA,NA,0,2,1,1,2,-1,1,NA,1.72265100479126,NA,NA,NA,NA
"jborqwdFcgrdBtDepDiE",2019-06-21 10:09:44,2019-06-21 10:09:46,1,-2,2,2,3,"bet",NA,"call",NA,0,2,2,2,4,-2,2,NA,2.34610915184021,NA,NA,NA,NA
"jborqwdFcgrdBtDepDiE",2019-06-21 10:09:51,2019-06-21 10:09:53,2,-1,2,1,2,"check","check",NA,NA,0,2,1,1,2,-1,1,NA,NA,1.9642219543457,NA,NA,NA
5,2019-06-21 10:09:51,2019-06-21 10:11:02,4,1,2,1,2,"check","check",NA,NA,0,2,1,1,2,-1,1,NA,NA,1.9642219543457,NA,NA,NA,48.7935650348663
"YgNpBFGqHDfiPYPEMrjk",2019-06-21 10:11:57,2019-06-21 10:12:02,1,1,2,3,1,"bet",NA,"fold",NA,2,1,2,1,3,1,-1,NA,4.83666086196899,NA,NA,NA,NA
"MXYSJtucrlxBuLlMkViO",2019-06-21 10:18:03,2019-06-21 10:18:07,1,2,2,3,2,"bet",NA,"call",NA,0,1,2,2,4,2,-2,NA,3.20328903198242,NA,NA,NA,NA
"USciDlPZmLzIFmWXMcKf",2019-06-21 10:20:25,2019-06-21 10:20:27,1,-2,2,1,3,"bet",NA,"call",NA,0,2,2,2,4,-2,2,NA,2.11414313316345,NA,NA,NA,NA
"USciDlPZmLzIFmWXMcKf",2019-06-21 10:20:31,2019-06-21 10:20:33,2,-1,2,1,2,"bet",NA,"fold",NA,2,1,2,1,3,1,-1,NA,2.36638998985291,NA,NA,NA,NA
"USciDlPZmLzIFmWXMcKf",2019-06-21 10:20:39,2019-06-21 10:20:43,3,0,2,1,2,"check","check",NA,NA,0,2,1,1,2,-1,1,NA,NA,3.51743102073669,NA,NA,NA
"AgsOtpKMIdIkhfGqSVWM",2019-06-21 10:31:47,2019-06-21 10:31:56,1,2,2,3,1,"check","bet",NA,"call",0,1,2,2,4,2,-2,NA,5.598552942276,NA,NA,2.38765001296997,NA
